slug,name,sector,industry,indicative_price_inr,price_date,lot_size,min_ticket_inr,high_52w_inr,low_52w_inr,isin,market_cap_inr_cr,pe,book_value_inr,face_value_inr,status,drhp_filed,hq_city,hq_state,url
ncl-holdings-2,NCL Holdings (A&S),FINANCIALS,Holding Company,108,2026-09-21,95,10260,135.0,108.0,INE06DT01010,62.48,3.54,155.14,10,unlisted,no,Hyderabad,Telangana,https://buyunlistedshares.com/unlisted-shares/ncl-holdings-2
nidec-india-precision-tools-ltd,Nidec India Precision Tools Ltd.(Formerly Mitsubishi Heavy Industries),IT & INDUSTRIALS,Industrials,225,2026-09-21,45,10125,225.0,225.0,INE677G01014,156.83,7.26,379.69,10,unlisted,no,Ranipet,Tamil Nadu,https://buyunlistedshares.com/unlisted-shares/nidec-india-precision-tools-ltd
nilliampathy-tea-and-produce-company-limited,Nilliampathy Tea & Produce Company Limited,CONSUMER,Consumer Staples,549,2026-09-21,20,10980,549.0,549.0,INE829E01016,26.86,3.06,749.2,10,unlisted,no,Kochi,Kerala,https://buyunlistedshares.com/unlisted-shares/nilliampathy-tea-and-produce-company-limited
nnt-developers-limited,NNT Developers Limited,IT & INDUSTRIALS,Industrials,88,2026-09-21,115,10120,88.0,84.0,INE1C1201011,348,17.4,22,10,unlisted,yes,Patna,Bihar,https://buyunlistedshares.com/unlisted-shares/nnt-developers-limited
ofbusiness-tech-private-limited,OfBusiness (OFB) Tech Private Limited,FINANCIALS,Financials,415,2026-09-21,25,10375,415.0,410.0,INE06DH01023,44219.49,73.21,86.09,1,unlisted,no,Ahmedabad,Gujarat,https://buyunlistedshares.com/unlisted-shares/ofbusiness-tech-private-limited
onix-renewable-limited,Onix Renewable Limited,IT & INDUSTRIALS,Energy,47,2026-09-21,215,10105,118.0,46.0,INE0TG701015,650,5.5,64.57,10,unlisted,no,Rajkot,Gujarat,https://buyunlistedshares.com/unlisted-shares/onix-renewable-limited
oravel-stays,Oravel Stays (OYO Rooms),NEW-AGE,Hospitality,24,2026-09-21,420,10080,54.0,23.0,INE561T01021,35033,147.06,2.7,1,unlisted,yes,Ahmedabad,Gujarat,https://buyunlistedshares.com/unlisted-shares/oravel-stays
orbis-financial-corporation,Orbis Financial Corporation,FINANCIALS,Financials,348,2026-09-21,30,10440,525.0,348.0,INE155K01013,4820,23.5,73.19,10,unlisted,no,Gurugram,Haryana,https://buyunlistedshares.com/unlisted-shares/orbis-financial-corporation
otis-elevator-limited,Otis Elevator (India) Limited,IT & INDUSTRIALS,Industrials,3850,2026-09-21,5,19250,4150.0,3675.0,INE099A01022,4546.17,23.8,398.71,10,unlisted,no,Mumbai,Maharashtra,https://buyunlistedshares.com/unlisted-shares/otis-elevator-limited
parag-parikh-financial-advisory-services-limited,Parag Parikh Financial Advisory Services Limited,FINANCIALS,Financials,19750,2026-09-21,1,19750,21000.0,15950.0,INE0FGC01012,15621.8,40.51,1276.5,10,unlisted,no,Mumbai,Maharashtra,https://buyunlistedshares.com/unlisted-shares/parag-parikh-financial-advisory-services-limited
parry-agro-industries-limited,Parry Agro Industries Limited,CONSUMER,Consumer Staples,1200,2026-09-21,10,12000,1740.0,1200.0,INE361N01011,450.82,,182.45,10,unlisted,no,Chennai,Tamil Nadu,https://buyunlistedshares.com/unlisted-shares/parry-agro-industries-limited
pashupati-polytex-private-limited,Pashupati Polytex Private Limited,IT & INDUSTRIALS,Materials,298,2026-09-21,35,10430,298.0,280.0,INE1FHR01016,1410,52.24,85.86,10,unlisted,no,Gorakhpur,Uttar Pradesh,https://buyunlistedshares.com/unlisted-shares/pashupati-polytex-private-limited
paymate-india-limited,Paymate India Limited,FINANCIALS,Financials,445,2026-09-21,25,11125,495.0,445.0,INE08J501021,2566.32,,3.08,1,unlisted,no,Mumbai,Maharashtra,https://buyunlistedshares.com/unlisted-shares/paymate-india-limited
pharmeasy,PharmEasy,NEW-AGE,Healthcare,7.95,2026-09-21,1260,10017,9.95,5.6,INE0DJ201029,9538,,1.75,1,unlisted,no,Mumbai,Maharashtra,https://buyunlistedshares.com/unlisted-shares/pharmeasy
philips-domestic-appliances-india,Philips Domestic Appliances India,CONSUMER,Consumer Discretionary,750,2026-09-21,15,11250,750.0,750.0,INE0FO801019,4314,31.4,64.3,10,unlisted,no,Kolkata,West Bengal,https://buyunlistedshares.com/unlisted-shares/philips-domestic-appliances-india
philips-india-limited,Philips India Limited,CONSUMER,Consumer Discretionary,1050,2026-09-21,10,10500,1050.0,1050.0,INE319A01016,6039.31,23.44,258.98,10,unlisted,no,Kolkata,West Bengal,https://buyunlistedshares.com/unlisted-shares/philips-india-limited
phonepe-limited,PhonePe Limited,NEW-AGE,Financials,19968,2026-09-21,1,19968,19968.0,19968.0,INE0KM101027,107000,,187.73,1,unlisted,yes,Bengaluru,Karnataka,https://buyunlistedshares.com/unlisted-shares/phonepe-limited
pnb-finance-and-industries-ltd,PNB Finance and Industries Ltd.,FINANCIALS,Financials,8800,2026-09-21,5,44000,11500.0,8800.0,,2432,339.74,10296.5,10,unlisted,no,Delhi,Delhi,https://buyunlistedshares.com/unlisted-shares/pnb-finance-and-industries-ltd
pnb-metlife-insurance,PNB MetLife Insurance,FINANCIALS,Financials,100,2026-09-21,100,10000,100.0,55.0,,11072,98.2,10.21,10,unlisted,no,Bengaluru,Karnataka,https://buyunlistedshares.com/unlisted-shares/pnb-metlife-insurance
polymatech,Polymatech,IT & INDUSTRIALS,Information Technology,46,2026-09-21,220,10120,90.0,46.0,INE0OLN01029,2067.9,5.39,31.97,2,unlisted,no,Chennai,Tamil Nadu,https://buyunlistedshares.com/unlisted-shares/polymatech
power-exchange-india-limited,Power Exchange India Limited (PXIL),FINANCIALS,Financials,525,2026-09-21,20,10500,675.0,498.0,INE03N601010,3040,88,20.12,10,unlisted,no,Mumbai,Maharashtra,https://buyunlistedshares.com/unlisted-shares/power-exchange-india-limited
premier-cryogenics-limited,Premier Cryogenics Limited,IT & INDUSTRIALS,Industrials,323,2026-09-21,35,11305,323.0,250.0,INE101F01017,159.04,11.75,176.71,10,unlisted,no,Guwahati,Assam,https://buyunlistedshares.com/unlisted-shares/premier-cryogenics-limited
quality-enviro-engineers-private-limited,Quality Enviro Engineers Private Limited,IT & INDUSTRIALS,Industrials,1200,2026-09-21,10,12000,1200.0,1200.0,INE0V2L01016,159,62.4,59.1,10,unlisted,no,Ghaziabad,Uttar Pradesh,https://buyunlistedshares.com/unlisted-shares/quality-enviro-engineers-private-limited
raft-motors-limited,Raft Motors Limited,CONSUMER,Consumer Discretionary,,,,,,,INE1CJA01015,,,2.14,10,unlisted,no,Mumbai,Maharashtra,https://buyunlistedshares.com/unlisted-shares/raft-motors-limited
ramaraju-surgical-cotton-mills-limited,Ramaraju Surgical Cotton Mills Limited,CONSUMER,Consumer Discretionary,275,2026-09-21,40,11000,285.0,275.0,INE328E01027,,,,,unlisted,no,Rajapalayam,Tamil Nadu,https://buyunlistedshares.com/unlisted-shares/ramaraju-surgical-cotton-mills-limited
rathi-industries-limited,Rathi Industries Limited,IT & INDUSTRIALS,Materials,150,2026-09-21,70,10500,150.0,150.0,INE173X01019,121.27,14.93,229.62,10,unlisted,no,Delhi,Delhi,https://buyunlistedshares.com/unlisted-shares/rathi-industries-limited
raviraj-process-control-ltd,Raviraj Process Control Ltd,IT & INDUSTRIALS,Industrials,72,2026-09-21,140,10080,85.0,72.0,INE0QXE01010,83.21,20.81,35.95,10,unlisted,no,Thane,Maharashtra,https://buyunlistedshares.com/unlisted-shares/raviraj-process-control-ltd
razorpay-software-limited,Razorpay Software Limited,NEW-AGE,Financials,85.12,2026-09-21,120,10214.4,85.12,85.12,INE0ZHQ01034,7473.98,225.51,18.13,10,unlisted,yes,Bengaluru,Karnataka,https://buyunlistedshares.com/unlisted-shares/razorpay-software-limited
rdc-concrete-limited,RDC Concrete (India) Limited,IT & INDUSTRIALS,Materials,183,2026-09-21,55,10065,183.0,183.0,INE076I01015,2770.73,52.97,21.73,10,unlisted,no,Thane,Maharashtra,https://buyunlistedshares.com/unlisted-shares/rdc-concrete-limited
reliance-general-insurance,Reliance General Insurance,FINANCIALS,Financials,550,2026-09-21,20,11000,625.0,550.0,INE124D01014,15404,48.89,129.44,10,unlisted,no,Mumbai,Maharashtra,https://buyunlistedshares.com/unlisted-shares/reliance-general-insurance
renfra-energy-india-private-limited,Renfra Energy India Private Limited,IT & INDUSTRIALS,Energy,122,2026-09-21,85,10370,122.0,98.0,INE1LPG01028,1249,13.14,311085.37,10,unlisted,yes,,Tamil Nadu,https://buyunlistedshares.com/unlisted-shares/renfra-energy-india-private-limited
resin-and-plastic-limited,Resin & Plastic Limited,IT & INDUSTRIALS,Chemicals,675,2026-09-21,15,10125,775.0,437.0,INE422F01017,281.63,17.21,258.83,10,unlisted,no,Mumbai,Maharashtra,https://buyunlistedshares.com/unlisted-shares/resin-and-plastic-limited
ring-plus-aqua-ltd,Ring Plus Aqua Ltd. (JK group),CONSUMER,Automotive,695,2026-09-21,15,10425,695.0,695.0,INE093H01012,539,10.57,285.88,10,unlisted,no,Nashik,Maharashtra,https://buyunlistedshares.com/unlisted-shares/ring-plus-aqua-ltd
rkb-global-limited,RKB Global Limited,IT & INDUSTRIALS,Materials,115,2026-09-21,90,10350,128.0,115.0,INE028W01017,503.38,43.31,48.61,10,unlisted,yes,Palghar,Maharashtra,https://buyunlistedshares.com/unlisted-shares/rkb-global-limited
